position	tp2	language	component	component_name
30	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	29	Add in-game option "Frame Rate" (experimental): 5.0
31	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	30	Add in-game option "Action Feedback": 5.0
32	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	32	Add in-game option "Show Area of Effect Range": 5.0
33	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	33	Add in-game option "Enhanced Path Search": 5.0
34	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	34	Add in-game option "Expire Trap Highlights": 5.0
35	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	35	Add in-game option "Show Learnable Spells": 5.0
36	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	36	Add in-game option "Render Search Map": 5.0
37	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	37	Add in-game option "Render Dynamic Search Map": 5.0
38	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	39	Add in-game option "Force Dialog Pause": 5.0
39	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	300	Improved "Death Screen" options: 5.0
40	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	301	Improved "Quit Game" options: 5.0
41	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	103	Update key bindings -> for priest and mage spells: 5.0
42	RR/SETUP-RR.TP2	0	0	Proper dual-wielding implementation for Thieves and Bards: v4.92
43	RR/SETUP-RR.TP2	0	3	Proper racial adjustments for thieving skills: v4.92
44	RR/SETUP-RR.TP2	0	7	Additional equipment for Thieves and Bards: v4.92
45	RR/SETUP-RR.TP2	0	8	Upgradeable Equipment: v4.92
46	RR/SETUP-RR.TP2	0	11	Chosen of Cyric encounter: v4.92
47	RR/SETUP-RR.TP2	0	12	Shadow Thief Improvements: v4.92
48	RR/SETUP-RR.TP2	0	999	BG2-style icons for RR content: v4.92
49	BRANWEN/BRANWEN.TP2	0	0	Branwen BG2 NPC mod for players and modders: v8pre
50	EVANDRA/SETUP-EVANDRA.TP2	0	0	Evandra NPC: v2.2
51	EVANDRA/SETUP-EVANDRA.TP2	0	1	Crossmod Content: v2.2
52	FADE/SETUP-FADE.TP2	0	0	Fade: An NPC for Baldur's Gate II: SoA and ToB: 5.6
53	PAINA/PAINA.TP2	0	0	Pai'Na NPC for BG2:EE
54	BRISTLELICK/BRISTLELICK.TP2	0	0	Bristlelick—the gnoll companion for BGEE: v2.4
55	SARAHTOB/SETUP-SARAHTOB.TP2	0	1	Sarah NPC Romance Mod for BG2:ToB -> Use revised audio from HalmyLyseas: v8
56	AURA_BG1_2_EET/SETUP-AURA_BG1_2_EET.TP2	0	2	Aura NPC for Baldur's Gate: Enhanced Edition Trilogy
57	AURA_BG1_2_EET/SETUP-AURA_BG1_2_EET.TP2	0	3	Choose a class for Aura: -> Artificer (Thief)
58	AURA_BG1_2_EET/SETUP-AURA_BG1_2_EET.TP2	0	7	Aura NPC for Baldur's Gate 2: Enhanced Edition-NPC Portraits
59	AURA_BG1_2_EET/SETUP-AURA_BG1_2_EET.TP2	0	14	Aura NPC for Baldur's Gate 2: Enhanced Edition-Import BG1 upgrades into BG2
60	UB/SETUP-UB.TP2	0	0	The Kidnapping of Boo by Cliffette: v28
61	UB/SETUP-UB.TP2	0	1	The Suna Seni/Valygar Relationship: v28
62	UB/SETUP-UB.TP2	0	2	Kalah and What He Was Promised: v28
63	UB/SETUP-UB.TP2	0	3	"Cat and Mouse" (Bodhi hunts you in Spellhold) by Ghreyfain: v28
64	UB/SETUP-UB.TP2	0	4	Gorje Hilldark and the Extended Illithium Quest: v28
65	UB/SETUP-UB.TP2	0	5	The Pai'Na/Spider's Bane Quest: v28
66	UB/SETUP-UB.TP2	0	6	Restored Crooked Crane Inn: v28
67	UB/SETUP-UB.TP2	0	7	Restored Encounters: v28
68	UB/SETUP-UB.TP2	0	8	Artemis Entreri in Bodhi's Lair: v28
69	UB/SETUP-UB.TP2	0	9	Corrected "Xzar's Creations": v28
70	UB/SETUP-UB.TP2	0	10	Restored Hell Minions, by SimDing0: v28
71	UB/SETUP-UB.TP2	0	12	Item Restorations: v28
72	UB/SETUP-UB.TP2	0	15	NPC Portrait Restorations: v28
73	UB/SETUP-UB.TP2	0	17	Corrected Character Names and Biographies: v28
74	UB/SETUP-UB.TP2	0	18	Restored Minor Dialogs: v28
75	UB/SETUP-UB.TP2	0	19	Restored Bhaalspawn Powers, by David Gaider: v28
76	UB/SETUP-UB.TP2	0	20	Extended ToB Item Descriptions: v28
77	UB/SETUP-UB.TP2	0	21	Throne of Bhaal Minor Restorations: v28
78	UB/SETUP-UB.TP2	0	22	Justifier Kit: v28
79	UB/SETUP-UB.TP2	0	23	Feralan Kit: v28
80	UB/SETUP-UB.TP2	0	24	Sarevok's Remorse: v28
81	UB/SETUP-UB.TP2	0	25	The Murder of Acton Balthis, by Kulyok: v28
82	XAN/XAN.TP2	0	0	Xan NPC MOD for Baldur's Gate II: v19
83	XAN/XAN.TP2	0	1	Install alternate class for Xan? -> Change Xan's class to Fighter/Mage: v19
84	YESLICKNPC/YESLICKNPC.TP2	0	1	Yeslick NPC for BGII: SoA & ToB -> Yeslick is a Fighter-Alaghor of Clangeddin (cleric kit): v5.0
85	AJANTISBG2/AJANTISBG2.TP2	1	0	Sir Ajantis NPC for BGII: 21
86	SIRENE_BG2/SIRENE_BG2.TP2	0	0	Sirene NPC for BG2:EE
87	SIRENE_BG2/SIRENE_BG2.TP2	0	2	Choose an alternate portrait for Sirene? -> Alternate 1 (Sirick, Light Armor)
88	SIRENE_BG2/SIRENE_BG2.TP2	0	6	Choose an alternate class for Sirene? -> Cavalier
89	WINGS/SETUP-WINGS.TP2	0	0	Wings for BG2:EE
90	WINGS/SETUP-WINGS.TP2	0	1	Restore missing banters?
91	ASCENSION/ASCENSION.TP2	0	0	Rewritten Final Chapter of Throne of Bhaal: 2.1.0
92	ASCENSION/ASCENSION.TP2	0	10	Balthazar can be redeemed: 2.1.0
93	ASCENSION/ASCENSION.TP2	0	20	Improved Sarevok-Player Interactions: 2.1.0
94	ASCENSION/ASCENSION.TP2	0	30	Improved Imoen-Player Interactions in Throne of Bhaal: 2.1.0
95	ASCENSION/ASCENSION.TP2	0	40	Restored Bhaalspawn Powers: 2.1.0
96	ASCENSION/ASCENSION.TP2	0	50	Improved Slayer Transformation: 2.1.0
97	ASCENSION/ASCENSION.TP2	0	1000	Tougher Abazigal: 2.1.0
98	ASCENSION/ASCENSION.TP2	0	1100	Tougher Balthazar: 2.1.0
99	ASCENSION/ASCENSION.TP2	0	1200	Tougher Demogorgon: 2.1.0
100	ASCENSION/ASCENSION.TP2	0	1300	Tougher Gromnir: 2.1.0
101	ASCENSION/ASCENSION.TP2	0	1400	Tougher Illasera: 2.1.0
102	ASCENSION/ASCENSION.TP2	0	1500	Tougher Yaga-Shura: 2.1.0
103	ASCENSION/ASCENSION.TP2	0	2000	Full-body portrait for Bodhi: 2.1.0
104	ASCENSION/ASCENSION.TP2	0	2100	Alternate Balthazar portrait, by Cuv: 2.1.0
105	ASCENSION/ASCENSION.TP2	0	2300	Sharper portraits of Abazigal and Gromnir for the Enhanced Edition, by DavidW: 2.1.0
106	ASCENSION/ASCENSION.TP2	0	2400	Slightly improved cutscenes, by DavidW: 2.1.0
107	SPELL_REV/SETUP-SPELL_REV.TP2	0	0	Spell Revisions: v4.19
108	SPELL_REV/SETUP-SPELL_REV.TP2	0	10	Deva and Planetar Animations: v4.19
109	SPELL_REV/SETUP-SPELL_REV.TP2	0	20	Mirror Image Fix: v4.19
110	SPELL_REV/SETUP-SPELL_REV.TP2	0	30	Dispel Magic Fix: v4.19
111	SPELL_REV/SETUP-SPELL_REV.TP2	0	55	Spell Deflection blocks AoE spells: v4.19
112	SPELL_REV/SETUP-SPELL_REV.TP2	0	65	Revised Warrior HLAs: v4.19
113	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1	Artisan's Kitpack: Enable All Classes for All Races: 6.0
114	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	2	Artisan's Kitpack: Enable Multi-Classes for -> All Races: 6.0
115	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	20000	Artisan's Kitpack: Eldritch Knight (Fighter / Mage Kit): 6.0
116	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	20001	Artisan's Kitpack: Arcane Trickster (Mage / Thief Kit): 6.0
117	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	8001	Artisan's Kitpack: Pale Master Sorcerer Kit: 6.0
118	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	8101	Artisan's Kitpack: Pale Master Spells -> 'Unholy' Necromancy Spells Only (Cause Wounds, Disease, Poison, etc.): 6.0
119	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	8002	Artisan's Kitpack: 3e-accurate Dragon Disciple -> Original Stat Bonuses: 6.0
120	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	8004	Artisan's Kitpack: Arcane Trickster Sorcerer Kit—EEEx required: 6.0
121	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	10002	Artisan's Kitpack: Brawler Kit: 6.0
122	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	10001	Artisan's Kitpack: Monk Revisions: 6.0
123	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	10003	Artisan's Kitpack: Sacred Fist (Cleric) and Enlightened Fist (Sorcerer) Kits—EEEx required: 6.0
124	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	10004	Artisan's Kitpack: Ninja "Class" (Monk Kit)—EEEx required: 6.0
125	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1003	Artisan's Kitpack: Berserker Overhaul: 6.0
126	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1006	Artisan's Kitpack: Wizard Slayer Overhaul: 6.0
127	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1004	Artisan's Kitpack: Kensai Overhaul: 6.0
128	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1005	Artisan's Kitpack: Barbarian Overhaul: 6.0
129	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1007	Artisan's Kitpack: Dwarven Defender Overhaul + Vanguard Fighter Kit: 6.0
130	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1000	Artisan's Kitpack: Arcane Archer Fighter Kit: 6.0
131	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1001	Artisan's Kitpack: Arcane Archer (Fighter/Mage): 6.0
132	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1008	Artisan's Kitpack: Siegemaster Fighter Kit: 6.0
133	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1009	Artisan's Kitpack: Dreadnought Fighter Kit: 6.0
134	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	1100	Artisan's Kitpack: Fighter Overhaul: 6.0
135	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	2000	Artisan's Kitpack: Ranger Overhaul: 6.0
136	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	2010	Artisan's Kitpack: Archer Overhaul: 6.0
137	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	2011	Artisan's Kitpack: Stalker Overhaul: 6.0
138	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	2012	Artisan's Kitpack: Beast Master Overhaul: 6.0
139	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	2002	Artisan's Kitpack: Dark Hunter Ranger Kit: 6.0
140	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3000	Artisan's Kitpack: Paladin Overhaul: 6.0
141	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3010	Artisan's Kitpack: Cavalier Overhaul: 6.0
142	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3003	Artisan's Kitpack: Inquisitor Overhaul: 6.0
143	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3011	Artisan's Kitpack: Undead Hunter Overhaul: 6.0
144	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3004	Artisan's Kitpack: Blackguard Overhaul: 6.0
145	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3001	Artisan's Kitpack: Divine Champion Paladin Kit: 6.0
146	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3002	Artisan's Kitpack: Mystic Fire Paladin Kit: 6.0
147	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	3005	Artisan's Kitpack: Martyr Paladin Kit: 6.0
148	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	5100	Artisan's Kitpack: Shapeshifter Overhaul: 6.0
149	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	5110	Artisan's Kitpack: Shapeshifter Overhaul – Custom Werewolf Sprite -> Shapeshifter Form Only: 6.0
150	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	5001	Artisan's Kitpack: Elementalist Druid Kit: 6.0
151	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	5002	Artisan's Kitpack: Hivemaster Druid Kit: 6.0
152	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	7004	Artisan's Kitpack: Assassin Overhaul: 6.0
153	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	7006	Artisan's Kitpack: Swashbuckler Overhaul: 6.0
154	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	7001	Artisan's Kitpack: Rogue Archer Thief Kit: 6.0
155	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	7002	Artisan's Kitpack: Magekiller Thief Kit: 6.0
156	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	7003	Artisan's Kitpack: Trickster Thief Kit: 6.0
157	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	7005	Artisan's Kitpack: Invisible Blade Thief Kit: 6.0
158	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	9001	Artisan's Kitpack: Warhorn Shaman Kit: 6.0
159	ARTISANSKITPACK/ARTISANSKITPACK.TP2	0	30001	Artisan's Kitpack: Favored Soul (EEex only, under Shaman in chargen): 6.0
160	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1001	Bardic Wonders: Blade Overhaul
161	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1002	Bardic Wonders: Jester Overhaul
162	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1003	Bardic Wonders: Skald Overhaul
163	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1004	Bardic Wonders: Abettor of Mask Kit
164	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1005	Bardic Wonders: Dancer Kit
165	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1006	Bardic Wonders: Darkbloom Bard Kit
166	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1007	Bardic Wonders: Storm Drummer Kit
167	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1009	Bardic Wonders: Deathsinger Kit
168	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1010	Bardic Wonders: Strategist Kit
169	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1011	Bardic Wonders: Kapellmeister Kit
170	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2001	Bardic Wonders: Items
171	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2002	Bardic Wonders: Inspirations
172	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2003	Bardic Wonders: Armored Casting for Bards
173	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2004	Bardic Wonders: Bard Song Mechanics Tweak
174	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2005	Bardic Wonders: Item Restriction Tweaks (bards may use mage items and priest scrolls)
175	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2006	Bardic Wonders: Bard Song Overhead Visual Effect
176	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2007	Bardic Wonders: High Level Abilities
177	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	2008	Bardic Wonders: New Bard Spells
178	BARDICWONDERS/SETUP-BARDICWONDERS.TP2	0	1008	Bardic Wonders: Troubadour Kit
179	ARTISANSKITPACK_NPC/ARTISANSKITPACK_NPC.TP2	0	2001	Artisan's Kitpack: Rashemi Berserker Ranger Kit for Minsc
180	ARTISANSKITPACK_NPC/ARTISANSKITPACK_NPC.TP2	0	3101	Artisan's Kitpack: Give Ajantis the Divine Champion Kit
181	ARTISANSKITPACK_NPC/ARTISANSKITPACK_NPC.TP2	0	5102	Artisan's Kitpack: Red Wizard Mage Kit for Edwin
182	ARTISANSKITPACK_NPC/ARTISANSKITPACK_NPC.TP2	0	7104	Artisan's Kitpack: Give Hexxat the Invisible Blade Kit
183	ARTISANSKITPACK_NPC/ARTISANSKITPACK_NPC.TP2	0	21001	Artisan's Kitpack: Give Jan the Arcane Trickster Kit
184	ARTISANSKITPACK_NPC/ARTISANSKITPACK_NPC.TP2	0	20002	Artisan's Kitpack: Make Xan an Eldritch Knight
185	SPELL_REV/SETUP-SPELL_REV.TP2	0	60	Update Spellbooks of Joinable NPCs: v4.19
186	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	10	Icewind Dale Casting Graphics (Andyr): v11
187	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	60	Two-Handed Axe Item Pack: v11
188	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	130	Use IWD Damage Animations: v11
189	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	140	Randomized Enemy Equipment -> Add High Quality Items: v11
190	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	190	Increase Spear Damage: v11
191	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	120	Thief Class Update: Evasion -> Add evasion to thieves and all thief kits: v11
192	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	30	IWD Arcane Spell Pack: v11
193	IWDIFICATION/SETUP-IWDIFICATION.TP2	0	40	IWD Divine Spell Pack: v11
194	IEPBANTERS/IEPBANTERS.TP2	0	0	Extended NPC-NPC Interaction SoA: v5.9
195	IEPBANTERS/IEPBANTERS.TP2	0	1	Extended Minsc/Aerie Interaction ToB: v5.9
196	IEPBANTERS/IEPBANTERS.TP2	0	2	Imoen "Retrospection" dialogue for BGII: ToB: v5.9
197	IEPBANTERS/IEPBANTERS.TP2	0	3	Wake-Up dialogue for Anomen Romance (By David Gaider with additions from Kulyok): v5.9
198	IEPBANTERS/IEPBANTERS.TP2	0	4	NPC Conflict Revisions: v5.9
199	IEPBANTERS/IEPBANTERS.TP2	0	5	Restored Aerie/Jaheira/Anomen interjection in Underdark: v5.9
200	IEPBANTERS/IEPBANTERS.TP2	0	8	Install Banter Accelerator? How much time would you like in between NPC banters in-game? -> 20 Minutes: v5.9
201	CROSSMODBG2/SETUP-CROSSMODBG2.TP2	0	0	Crossmod Banter Pack for Shadows of Amn Content: v30
202	CROSSMODBG2/SETUP-CROSSMODBG2.TP2	0	1	Crossmod Banter Pack for Throne of Bhaal Content: v30
203	CROSSMODBG2/SETUP-CROSSMODBG2.TP2	0	2	Crossmod Romance Conflicts: v30
204	ARTISANSKITPACK_TWEAK/ARTISANSKITPACK_TWEAK.TP2	0	20101	Artisan's Kitpack: Archer - Apply Manyshot to mod-added items (install this after any mods that add mod bows and crossbows)
205	ARTISANSKITPACK_TWEAK/ARTISANSKITPACK_TWEAK.TP2	0	1209	Artisan's Kitpack: Dreadnought - Set Dreadnought and Siegemaster to 1 APR (install this if the Dreadnought or Siegemaster is getting bonus APR from other mods)
206	ARTISANSKITPACK_TWEAK/ARTISANSKITPACK_TWEAK.TP2	0	7203	Artisan's Kitpack: Trickster - Mimic Mod Kit Abilities (install this after other kits!)
207	BASTIL/BASTIL.TP2	0	0	Bastila Shan Soundset
208	AW_PF_SOUNDSETS/AW_PF_SOUNDSETS.TP2	0	0	Pathfinder Soundset
209	HQ_SOUNDCLIPS_BG2EE/HQ_SOUNDCLIPS_BG2EE.TP2	0	0	Install high quality soundclips for new BG2EE content: 1.3
210	C0WARLOCK/C0WARLOCK.TP2	0	0	Warlock Kit: 3.0
211	RANDOMISER/RANDOMISER.TP2	0	530	Randomise scrolls: 7
212	RANDOMISER/RANDOMISER.TP2	0	540	Randomise the heads of the Flail of Ages: 7
213	RANDOMISER/RANDOMISER.TP2	0	560	More Spell Shield scrolls: 7
214	RANDOMISER/RANDOMISER.TP2	0	570	Randomise the appearance of cursed items: 7
215	RANDOMISER/RANDOMISER.TP2	0	9000	Cespenar can forge SoA items: 7
216	RANDOMISER/RANDOMISER.TP2	0	10200	Remove Protection from Undead scrolls from stores -> All scrolls from 9 out of 10 stores: 7
217	RANDOMISER/RANDOMISER.TP2	0	10210	Duergar merchants: 7
218	RANDOMISER/RANDOMISER.TP2	0	10300	Prevent Watcher's Keep statues from disappearing: 7
219	RANDOMISER/RANDOMISER.TP2	0	1100	Randomise items -> Mode 1: Randomise with in-game scripts. No items are lost: 7
220	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	40	Change Viconia's Skin Color to Dark Blue: v18
221	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	60	Weapon Animation Tweaks: v18
222	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	110	Icon Improvements: v18
223	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	130	Force All Dialogue to Pause Game: v18
224	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	170	Unique Icons [Lava] -> Only replace icons that aren't already unique: v18
225	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	180	Unique Containers [Miloch] -> Fixes only: v18
226	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	2010	Separate Resist Fire/Cold Icon into Separate Icons [Angel]: v18
227	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1010	More Interjections: v18
228	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1020	Alter HP Triggers for NPC Wounded Dialogues: v18
229	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1040	Improved Athkatlan City Guard: v18
230	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1080	Add Bags of Holding: v18
231	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1120	Stores Sell Higher Stacks of Items: v18
232	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1142	Gems and Potions Require Identification -> Just potions: v18
233	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1161	Multiple Strongholds [Sabre, Baldurdash, Weimer] -> Keep class restrictions: v18
234	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1180	Female Edwina [Davide Carte, Wendy Yung, Weimer]: v18
235	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1220	Allow Cromwell to Upgrade Watcher's Keep Items: v18
236	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1227	Adjust Cromwell's Forging Time -> Full 24 hours (BG2EE default, includes sleep): v18
237	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1230	Allow Cespenar to Use Cromwell Recipes: v18
238	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	1257	Move NPCs to Convenient Locations: Alora, Eldoth, Quayle, Shar-Teel, Tiax, and Viconia: v18
239	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	2020	Two-Handed Bastard Swords: v18
240	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	2030	Two-Handed Katanas: v18
241	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	2035	Two-Handed Axes: v18
242	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	2090	Change Experience Point Cap -> Remove experience cap: v18
243	CDTWEAKS/SETUP-CDTWEAKS.TP2	0	2152	Wear Multiple Protection Items -> Allow armor plus one protection item [Angel]: v18
