position	tp2	language	component	component_name
1	EEFIXPACK/SETUP-EEFIXPACK.TP2	0	0	Core Fixes: Alpha 3
2	EEFIXPACK/SETUP-EEFIXPACK.TP2	0	2	Game Text Update: Alpha 3
3	EET/EET.TP2	0	0	EET core (resource importation): v14.0
4	EET/EET.TP2	0	100	Create desktop shortcut: v14.0
5	EEEX/EEEX.TP2	0	0	Quick Menu Core: v1.2.0
6	EEEX/EEEX.TP2	0	1	EEex: v1.2.0
7	EEEX/EEEX.TP2	0	2	Enable effect menu module: LShift-on-hover to view spells affecting creature: v1.2.0
8	EEEX/EEEX.TP2	0	3	Enable empty container module: Highlight empty containers in gray instead of cyan: v1.2.0
9	EEEX/EEEX.TP2	0	4	Enable hotkey module: Edit override/B3Hotkey.lua to create advanced spell hotkeys: v1.2.0
10	EEEX/EEEX.TP2	0	5	Enable scale module: Customizable UI scaling factor: v1.2.0
11	EEEX/EEEX.TP2	0	6	Enable time step module: Advance 1 game tick on keypress: v1.2.0
12	EEEX/EEEX.TP2	0	7	Enable timer module: Visual indicators for modal actions, contingencies, and spell/item cooldowns: v1.2.0
13	BUBB_SPELL_MENU_EXTENDED/BUBB_SPELL_MENU_EXTENDED.TP2	0	0	Bubb's Spell Menu Extended: v5.1
14	BGGO/BGGO.TP2	0	0	Baldurs Gate Graphical Overhaul Core: v3.5
15	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	10	Add in-game option "Enable Debug Mode": 5.0
16	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	11	Add in-game option "Enable UI Edit Mode": 5.0
17	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	12	Add in-game option "Show Strrefs": 5.0
18	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	13	Add in-game option "Hotkeys On Tooltips": 5.0
19	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	14	Add in-game option "Show trigger icons on tab": 5.0
20	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	16	Add in-game option "Limit druidic spells for Cleric/Ranger": 5.0
21	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	18	Add in-game option "Critical Hit Screen Shake": 5.0
22	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	19	Add in-game option "Show extra combat info": 5.0
23	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	20	Add in-game option "Show Game Date and Time on Pause": 5.0
24	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	22	Add in-game option "Reverse Mouse Wheel Zoom": 5.0
25	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	23	Add in-game option "Pause Game on Map Screen": 5.0
26	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	24	Add in-game option "Enable Fog": 5.0
27	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	25	Add in-game option "Disable Movies": 5.0
28	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	27	Add in-game option "XP Bonus in Nightmare Mode": 5.0
29	HIDDENGAMEPLAYOPTIONS/HIDDENGAMEPLAYOPTIONS.TP2	0	28	Add in-game option "Trigger Bored Sounds": 5.0
